State Name,Rank,Source,Source Year
Alaska,22,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Alabama,46,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Arkansas,49,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Arizona,33,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
California,18,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Colorado,4,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Connecticut,26,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Delaware,17,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Florida,24,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Georgia,32,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Hawaii,1,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Iowa,12,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Idaho,16,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Illinois,18,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Indiana,37,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Kansas,35,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Kentucky,43,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Louisiana,48,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Massachusetts,10,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Maryland,11,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Maine,41,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Michigan,37,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Minnesota,6,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Missouri,29,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Mississippi,47,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Montana,20,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
North Carolina,41,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
North Dakota,3,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Nebraska,36,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
New Hampshire,5,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
New Jersey,2,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
New Mexico,50,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Nevada,27,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
New York,15,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Ohio,39,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Oklahoma,45,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Oregon,30,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Pennsylvania,25,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Rhode Island,27,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
South Carolina,23,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
South Dakota,20,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Tennessee,30,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Texas,40,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Utah,13,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Virginia,9,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Vermont,7,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Washington,14,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Wisconsin,8,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
West Virginia,44,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
Wyoming,34,"U.S. Department of Agriculture, Household Food Security in the United States Report",2015-2017
